Year,Product_line,Product_type,Product,Order_method_type,Retailer_country,Revenue,Planned_revenue,Product_cost,Quantity,Unit_cost,Unit_price,Gross_profit,Unit_sale_price
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,United States,437477.15,344917.4931,169471.4212,66385,2.55285714,6.59,268005.7288,5.19571429
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Canada,14313.48,13444.68,6298.8,2172,2.9,6.59,8014.68,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Japan,235236.64,195899.648,94844.272,35696,2.657,6.59,140392.368,5.488
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,China,100200.95,76633.2,37936.475,15205,2.495,6.59,62264.475,5.04
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Singapore,51619.47,30940.35,16370.97,7833,2.09,6.59,35248.5,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Netherlands,94421.52,80021.88,38649.78,14328,2.6975,6.59,55771.74,5.585
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Sweden,30821.43,18474.15,9774.93,4677,2.09,6.59,21046.5,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Finland,117236.1,90195.3,44386.05,17790,2.495,6.59,72850.05,5.07
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Denmark,33325.63,31774.81665,14665.3,5057,2.9,6.59,18660.33,6.28333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,France,138113.22,114081.3799,55119.54,20958,2.63,6.59,82993.68,5.44333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,United Kingdom,220995.65,176729.45,86386.16,33535,2.576,6.59,134609.49,5.27
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Austria,85399.81,74514.25,34956.9025,12959,2.6975,6.59,50442.9075,5.75
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,United States,222735.41,191039.4588,91933.28,33799,2.72,6.59,130802.13,5.65222222
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Mexico,169942.92,147593.3199,70143.36,25788,2.72,6.59,99799.56,5.72333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Korea,238492.1,202121.15,97622.525,36190,2.6975,6.59,140869.575,5.585
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Singapore,161665.88,128989.256,63194.432,24532,2.576,6.59,98471.448,5.258
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Finland,78361.69,72891.83,34483.9,11891,2.9,6.59,43877.79,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Denmark,13127.28,12469.92,5776.8,1992,2.9,6.59,7350.48,6.26
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,France,114692.36,101088.2333,48122.06,17404,2.765,6.59,66570.3,5.80833333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Germany,169692.5,146631.9443,70040,25750,2.72,6.59,99652.5,5.69444444
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,United Kingdom,12250.81,11637.34,5391.1,1859,2.9,6.59,6859.71,6.26
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Belgium,13245.9,12843.9,5829,2010,2.9,6.59,7416.9,6.39
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Italy,131865.9,111084.0857,53398.11431,20010,2.66857143,6.59,78467.78569,5.55142857
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Spain,13878.54,13036.14,6107.4,2106,2.9,6.59,7771.14,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,United States,407123.61,360665.802,171652.9515,61779,2.7785,6.59,235470.6585,5.838
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Canada,171649.73,148120.6068,70847.84,26047,2.72,6.59,100801.89,5.68666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Mexico,33964.86,20358.3,10771.86,5154,2.09,6.59,23193,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Brazil,156433.42,129952.3621,62430.94,23738,2.63,6.59,94002.48,5.47444444
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Japan,81860.98,69935.86,33508.345,12422,2.6975,6.59,48352.635,5.63
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Korea,98184.41,80504.26328,39184.37,14899,2.63,6.59,59000.04,5.40333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,China,348446.25,298508.7502,143820,52875,2.72,6.59,204626.25,5.64555556
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Singapore,18728.78,17421.46,8241.8,2842,2.9,6.59,10486.98,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Netherlands,115918.1,101787.4667,48636.35,17590,2.765,6.59,67281.75,5.78666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Sweden,63224.46,54517.905,25879.815,9594,2.6975,6.59,37344.645,5.6825
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Finland,100537.04,85204.76,41153.06,15256,2.6975,6.59,59383.98,5.585
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Denmark,44093.69,34157.555,16694.045,6691,2.495,6.59,27399.645,5.105
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,France,121196.69,100537.4667,48368.33,18391,2.63,6.59,72828.36,5.46666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Germany,74427.46,70568.67663,32752.6,11294,2.9,6.59,41674.86,6.24833333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,United Kingdom,199446.35,177888.3578,83997.01552,30265,2.77538462,6.59,115449.3345,5.87769231
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Belgium,56911.24,47282.1,22421.215,8636,2.59625,6.59,34490.025,5.475
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Austria,45022.88,39061.96,18429.32,6832,2.6975,6.59,26593.56,5.7175
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Italy,13707.2,12875.2,6032,2080,2.9,6.59,7675.2,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Spain,127219.95,114430.3875,54029.86875,19305,2.79875,6.59,73190.08125,5.9275
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Canada,40337.39,38031.81331,17750.9,6121,2.9,6.59,22586.49,6.21333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Mexico,27842.75,26152.75,12252.5,4225,2.9,6.59,15590.25,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Japan,14089.42,13234.22,6200.2,2138,2.9,6.59,7889.22,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,China,30314,28198,13340,4600,2.9,6.59,16974,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Belgium,5660.81,5489.01,2491.1,859,2.9,6.59,3169.71,6.39
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,United States,68628.26,52486.56,25982.93,10414,2.495,6.59,42645.33,5.04
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Japan,14781.37,13884.17,6504.7,2243,2.9,6.59,8276.67,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Korea,22478.49,20909.43,9891.9,3411,2.9,6.59,12586.59,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Netherlands,31019.13,18592.65,9837.63,4707,2.09,6.59,21181.5,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,France,56726.72,47057.0667,22639.04,8608,2.63,6.59,34087.68,5.46666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Spain,23374.73,14010.65,7413.23,3547,2.09,6.59,15961.5,3.95
